"","agency","xmlAge","var","earliest","latest","nMeas","nSite","meanMeas","maxMeas","minMeas","nNA"
"1","boprc",0,"MCI","31-Dec-2005","06-Feb-2019",12875,139,111.6,159.1,47.7,0
"2","boprc",0,"PercentageEPTTaxa","31-Dec-2005","06-Feb-2019",12875,139,47.3,100,0,0
"3","boprc",0,"TaxaRichness","31-Dec-2005","06-Feb-2019",12875,139,17.9,46,1,0
"4","ecan",0,"MCI","10-Nov-1999","23-Jan-2020",2983,134,101.6,155.6,50,0
"5","ecan",0,"PercentageEPTTaxa","10-Nov-1999","23-Jan-2020",2983,134,41.3,90,0,0
"6","ecan",0,"TaxaRichness","10-Nov-1999","23-Jan-2020",2983,134,17.8,42,3,0
"7","es",0,"MCI","09-Jan-2004","11-Dec-2019",999,87,102.8,147,0,0
"8","es",0,"PercentageEPTTaxa","09-Jan-2004","11-Dec-2019",999,87,47.4,94.6,0,0
"9","es",0,"TaxaRichness","09-Jan-2004","11-Dec-2019",999,87,20.4,41,0,0
"10","gdc",0,"MCI","20-Jan-2016","20-Mar-2019",357,80,99.2,148,47,0
"11","gdc",0,"PercentageEPTTaxa","20-Jan-2016","20-Mar-2019",357,80,33.5,72.7,0,0
"12","gdc",0,"TaxaRichness","20-Jan-2016","20-Mar-2019",357,80,19,44,1.8,0
"13","gwrc",0,"MCI","01-Feb-2005","21-Feb-2019",730,53,107.7,155.9,60,0
"14","gwrc",0,"PercentageEPTTaxa","19-Jan-2011","21-Feb-2019",419,53,40.7,77.8,0,0
"15","gwrc",0,"TaxaRichness","19-Jan-2011","21-Feb-2019",419,53,22.3,39,8,0
"16","hbrc",0,"MCI","13-Feb-2001","28-Feb-2019",899,82,99.7,151,47.5,0
"17","hbrc",0,"PercentageEPTTaxa","09-Feb-2004","28-Feb-2019",742,82,39.3,97.7,0,0
"18","hbrc",0,"TaxaRichness","13-Feb-2001","28-Feb-2019",899,82,19.9,40,1,0
"19","hrc",31,"MCI","02-Feb-2005","04-May-2018",769,81,106.6,168,55,0
"20","hrc",31,"PercentageEPTTaxa","02-Feb-2005","04-May-2018",769,81,46.1,81.2,0,0
"21","hrc",31,"TaxaRichness","02-Feb-2005","04-May-2018",769,81,22.8,45,3,0
"22","mdc",0,"MCI","08-Jan-2019","27-Feb-2020",62,31,102.1,130,63.6,0
"23","mdc",0,"PercentageEPTTaxa","08-Jan-2019","27-Feb-2020",62,31,42.4,72.7,9.1,0
"24","mdc",0,"TaxaRichness","08-Jan-2019","27-Feb-2020",62,31,24.3,42,9,0
"25","ncc",0,"MCI","01-Nov-2000","07-Mar-2019",488,26,107.3,153,40,0
"26","ncc",0,"TaxaRichness","01-Nov-2000","07-Mar-2019",488,26,18.5,47,1,0
"27","nrc",8,"MCI","01-Mar-1999","06-Apr-2018",301,19,115,154,51,0
"28","nrc",8,"PercentageEPTTaxa","01-Mar-1999","06-Apr-2018",302,19,38,85,0,0
"29","nrc",8,"TaxaRichness","01-Mar-1999","06-Apr-2018",302,19,19.4,45,4,0
"30","orc",0,"MCI","06-Feb-2004","19-Apr-2018",355,30,96.9,135,51,0
"31","orc",0,"PercentageEPTTaxa","06-Feb-2004","19-Apr-2018",347,30,43,73.3,0,0
"32","orc",0,"TaxaRichness","06-Feb-2004","19-Apr-2018",355,30,18.7,40,4,0
"33","trc",0,"MCI","10-May-1993","12-Mar-2020",2540,59,107,162,44,0
"34","trc",0,"PercentageEPTTaxa","10-May-1993","12-Mar-2020",2541,59,44,100,0,0
"35","trc",0,"TaxaRichness","10-May-1993","12-Mar-2020",2541,59,21.7,40,0,0
"36","wcrc",0,"MCI","30-Oct-2000","24-May-2019",821,34,115.3,165.7,46.7,0
"37","wcrc",0,"PercentageEPTTaxa","30-Oct-2000","24-May-2019",821,34,49.7,85.7,0,0
"38","wcrc",0,"TaxaRichness","30-Oct-2000","24-May-2019",821,34,23,48,2,0
"39","wrc",8,"MCI","11-Jan-2002","07-Mar-2019",1126,74,112.3,163.3,33.3,0
"40","wrc",8,"PercentageEPTTaxa","11-Jan-2002","07-Mar-2019",1126,74,45.2,83.3,0,0
"41","wrc",8,"TaxaRichness","11-Jan-2002","07-Mar-2019",1126,74,24,41,6,0
