Agency,Source,URL,SOSwq
ARC,web,https://mapspublictest.aklc.govt.nz/arcgis3/services/NonCouncil/LAWA/MapServer/WFSServer?VERSION=1.1.0&request=GetFeature&service=WFS&typename=MonitoringSiteReferenceData&srsName=EPSG:4326,http://aklc.hydrotel.co.nz:8080/KiWIS/KiWIS?datasource=3&service=SOS&version=2.0&request=GetObservation
BOPRC,web,http://geospatial.boprc.govt.nz/arcgis/services/emar/MonitoringSiteReferenceData/MapServer/WFSServer?request=getfeature&service=WFS&VERSION=1.1.0&typename=MonitoringSiteReferenceData&srsName=EPSG:4326,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation
ECAN,web,https://gis.ecan.govt.nz/arcgis/services/emar/MapServer/WFSServer?version=1.1.0&request=GetFeature&service=WFS&typename=emar:MonitoringSiteReferenceData&srsName=EPSG:4326,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&request=GetData
ES,web,http://gis.es.govt.nz/arcgis/services/emar/MonitoringSiteReferenceData/MapServer/WFSServer?SERVICE=WFS&VERSION=1.1.0&REQUEST=getfeature&typename=MonitoringSiteReferenceData&srsName=urn:ogc:def:crs:EPSG:6.9:4326,http://odp.es.govt.nz/WQ.hts?service=Hilltop&request=GetData
GDC,web,http://hilltop.gdc.govt.nz/data.hts?service=WFS&request=GetFeature&typename=MonitoringSiteReferenceData&version=1.1.0,http://hilltop.gdc.govt.nz/data.hts?service=Hilltop&request=GetData
GWRC,web,http://hilltop.gw.govt.nz/data.hts?Service=WFS&Request=GetFeature&TypeName=MonitoringSiteReferenceData&version=1.1.0,http://hilltop.gw.govt.nz/Data.hts?service=Hilltop&request=GetData
HBRC,web,https://hbmaps.hbrc.govt.nz/arcgis/services/emar/MonitoringSiteReferenceData/MapServer/WFSServer?request=GetFeature&service=WFS&typename=MonitoringSiteReferenceData&srsName=urn:ogc:def:crs:EPSG:6.9:4326&Version=1.1.0,https://data.hbrc.govt.nz/Envirodata/WQForTrend.hts?service=Hilltop&request=GetData
HRC,web,https://dservices1.arcgis.com/VuN78wcRdq1Oj69W/arcgis/services/MonitoringSiteReferenceData/WFSServer?service=wfs&request=GetFeature&version=1.1.0&typeName=MonitoringSiteReferenceData&version=1.1.0,http://tsdata.horizons.govt.nz/boo.hts?service=SOS&request=GetObservation
xHRC,web,http://gisdmz.horizons.govt.nz/arcgis/services/Emar/MonitoringSiteReferenceData/MapServer/WFSServer?request=getfeature&service=WFS&typename=MonitoringSiteReferenceData,http://tsdata.horizons.govt.nz/boo.hts?service=SOS&request=GetObservation
MDC,web,https://hydro.marlborough.govt.nz/data.hts?Service=WFS&Request=GetFeature&TypeName=MonitoringSiteReferenceData&version=1.1.0,http://hydro.marlborough.govt.nz/LAWA_SoEWQ.hts?service=Hilltop&request=GetData
NCC,web,http://envdata.nelson.govt.nz/anything.hts?Service=WFS&Request=GetFeature&TypeName=MonitoringSiteReferenceData&version=1.1.0,http://envdata.nelson.govt.nz/data.hts?service=Hilltop&request=GetData
xNIWA,xweb,http://gs.niwa.co.nz/nemo/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=nemo:fchem_locations,http://hydro.sos.niwa.co.nz/?service=SOS&version=2.0.0&request=GetObservation
xNRC,file,H:/ericg/16666LAWA/2018/WaterQuality/R/lawa_state/wfs_nrc.xml,http://hilltop.nrc.govt.nz/SOERiverWQ.hts?service=Hilltop&request=GetData
NRC,web,http://hilltop.nrc.govt.nz/PublicTelemetry.hts?Service=WFS&request=GetFeature&TypeName=MonitoringSiteReferenceData&version=1.1.0,http://hilltop.nrc.govt.nz/SOERiverWQ.hts?service=Hilltop&request=GetData
ORC,web,http://gisdata.orc.govt.nz/Hilltop/Global.hts?Service=WFS&Request=GetFeature&TypeName=MonitoringSiteReferenceData&version=1.1.0,http://gisdata.orc.govt.nz/hilltop/WQGlobal.hts?service=Hilltop&request=GetData
TDC,web,http://envdata.tasman.govt.nz/anything.hts?Service=WFS&Request=GetFeature&TypeName=MonitoringSiteReferenceData&version=1.1.0,http://envdata.tasman.govt.nz/WaterQuality.hts?service=Hilltop&request=GetData
TRC,web,https://extranet.trc.govt.nz/getgis/arcgis/services/emar/MonitoringSiteReferenceData/MapServer/WFSServer?request=GetFeature&Version=1.1.0&service=WFS&typename=MonitoringSiteReferenceData&srsName=urn:ogc:def:crs:EPSG:6.9:4326,https://extranet.trc.govt.nz/getdata/LAWA_river_WQ.hts?service=Hilltop&request=GetData
WCRC,web,http://hilltop.wcrc.govt.nz/data.hts?Service=WFS&Request=GetFeature&TypeName=MonitoringSiteReferenceData&version=1.1.0,http://hilltop.wcrc.govt.nz/wq.hts?service=Hilltop&request=GetData
WRC,web,https://maps.waikatoregion.govt.nz/arcgis/services/LAWA/LAWA/MapServer/WFSServer?service=WFS&VERSION=1.1.0&request=Getfeature&typename=MonitoringSiteReferenceData&srsname=epsg:4326,http://envdata.waikatoregion.govt.nz:8080/KiWIS/KiWIS?datasource=0&service=SOS&version=2.0&request=GetObservation&procedure=RERIMP.Sample.Results.P
