"BDISC","DRP","ECOLI","NH4","PH","TN","TON","TP","TURB","TURBFNU"
5195,4287,5484,5138,50419,1871,1946,1870,10547,0
0,0,98822,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0
0,0,10130,0,0,0,0,0,0,0
0,0,8275,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,548,1137
0,0,0,0,0,0,0,0,1,0
0,82333,0,82340,0,98841,102410,91671,0,0
78687,0,0,0,0,0,0,0,0,0
2282,0,0,0,0,0,0,0,0,0
0,25266,0,24992,0,3790,2086,21907,0,0
0,9182,0,9284,0,5095,9332,9178,0,0
0,0,0,0,0,0,0,0,83243,0
0,0,0,0,76117,0,0,0,0,0
0,12982,0,12979,0,12956,0,12955,0,0
0,0,6092,0,11312,0,0,0,9231,0
