"Region","Agency","CouncilSiteID","SiteID","LawaSiteID","NZReach","Lat","Long","SWQLanduse","Landcover"
"northland","nrc","100007","waiharakeke at stringers road","nrc-00028",1009997,-35.39381151,174.01971179,"Rural","rural"
"northland","nrc","100194","hatea at mair park","nrc-00019",1018018,-35.71100271,174.32972329,"Urban","urban"
"northland","nrc","100237","mangahahuru at main road","nrc-00013",1016447,-35.63994339,174.31310476,"Forest","forest"
"northland","nrc","100281","mangahahuru at apotu road","nrc-00014",1015857,-35.61771787,174.26008474,"Rural","rural"
"northland","nrc","100363","awanui at fndc","nrc-00016",1004333,-35.12158307,173.27541636,"Rural","rural"
"northland","nrc","100370","awanui at waihue channel","nrc-00017",1004083,-35.10803978,173.22728661,"Rural","rural"
"northland","nrc","101038","mangakahia at titoki","nrwqn-00021",1018598,-35.73415795,174.05051642,"Rural","rural"
"northland","nrc","101524","waipapa at landing","nrc-00031",1006063,-35.20326296,173.96839515,"Rural","rural"
"northland","nrc","101530","kerikeri at stone store","nrc-00021",1006289,-35.21718382,173.96285807,"Rural","rural"
"northland","nrc","101625","mangere at knight road","nrc-00001",1017791,-35.69795439,174.1449511,"Rural","rural"
"northland","nrc","101753","wairua at purua","nrwqn-00022",1016617,-35.65281793,174.15189542,"Rural","rural"
"northland","nrc","102248","waiotu at sh1","nrc-00012",1013585,-35.53221197,174.22856874,"Rural","rural"
"northland","nrc","102249","whakapara at cableway","nrc-00011",1013917,-35.54190088,174.27149499,"Rural","rural"
"northland","nrc","102256","kaihu at gorge","nrc-00006",1019201,-35.76264196,173.68526146,"Rural","rural"
"northland","nrc","102257","manganui at mititai road","nrc-00002",1023081,-35.96148471,174.11295815,"Rural","rural"
"northland","nrc","102258","opouteke at suspension bridge","nrc-00008",1017632,-35.69565634,173.86768807,"Forest","forest"
"northland","nrc","102674","kaeo at dip road","nrc-00020",1003935,-35.09785338,173.77159365,"Rural","rural"
"northland","nrc","103178","waitangi at waimate north road","nrc-00010",1008027,-35.29616152,173.90069715,"Rural","rural"
"northland","nrc","103304","waipoua at sh12","nrc-00007",1016579,-35.65250409,173.57039274,"Forest","forest"
"northland","nrc","105008","ruakaka at flyger road","nrc-00026",1021503,-35.86945027,174.40261082,"Rural","rural"
"northland","nrc","105231","punakitere at taheke","nrc-00005",1011729,-35.46260455,173.66127167,"Rural","rural"
"northland","nrc","105532","victoria at victoria valley road","nrc-00015",1004839,-35.147225,173.40764898,"Forest","forest"
"northland","nrc","108359","waiarohia at second avenue","nrc-00004",1018445,-35.72266387,174.31624099,"Urban","urban"
"northland","nrc","108941","waipao at draffins road","nrc-00030",1018522,-35.72655755,174.12530358,"Rural","rural"
"northland","nrc","108978","mangamuka at iwitaua road","nrc-00022",1006091,-35.20920885,173.54106138,"Forest","forest"
"northland","nrc","108979","oruru at oruru road","nrc-00024",1002906,-35.03863042,173.49052107,"Rural","rural"
"northland","nrc","109020","utakura at horeke road","nrc-00027",1008814,-35.3399122,173.62625659,"Rural","rural"
"northland","nrc","109021","hakaru at topuni","nrc-00018",1026482,-36.20376405,174.49424394,"Rural","rural"
"northland","nrc","109096","mangakahia at twin bridges","nrc-00009",1015928,-35.62991807,173.85405607,"Rural","rural"
"northland","nrc","109098","waimamaku at sh12","nrc-00029",1014099,-35.55860768,173.44871601,"Rural","rural"
"northland","nrc","110431","otaika at otaika valley road","nrc-00045",1019622,-35.77783168,174.27764197,"Rural","rural"
"northland","nrc","110603","ngunguru at coalhill lane","lawa-100668",1016568,-35.64242325,174.42564673,"Rural","rural"
"northland","niwa","WH1","Waipapa at Forest Ranger (NRWQN) (WH1)","nrwqn-00024",1007395,-35.273380279541,173.688095092773,"Forest","forest"
"northland","niwa","WH2","Waitangi at Wakelins (NRWQN) (WH2)","nrwqn-00023",1007570,-35.2763328552246,174.04753112793,"Rural","rural"
"northland","niwa","WH3","Mangakahia at Titoki Br. (NRWQN) (WH3)","nrwqn-00021",1018579,-35.7323265075684,174.052703857422,"Rural","rural"
"northland","niwa","WH4","Wairu at Purua (NRWQN) (WH4)","nrwqn-00022",1016617,-35.6519203186035,174.150772094727,"Rural","rural"
