Council,Value,Type
NIWA,AK1,site
NIWA,AK2,site
NIWA,AX1,site
NIWA,AX2,site
NIWA,AX3,site
NIWA,AX4,site
NIWA,CH1,site
NIWA,CH2,site
NIWA,CH3,site
NIWA,CH4,site
NIWA,DN1,site
NIWA,DN10,site
NIWA,DN2,site
NIWA,DN3,site
NIWA,DN4,site
NIWA,DN5,site
NIWA,DN6,site
NIWA,DN7,site
NIWA,DN8,site
NIWA,DN9,site
NIWA,GS1,site
NIWA,GS2,site
NIWA,GS3,site
NIWA,GS4,site
NIWA,GY1,site
NIWA,GY2,site
NIWA,GY3,site
NIWA,GY4,site
NIWA,HM1,site
NIWA,HM2,site
NIWA,HM3,site
NIWA,HM4,site
NIWA,HM5,site
NIWA,HM6,site
NIWA,HV1,site
NIWA,HV2,site
NIWA,HV3,site
NIWA,HV4,site
NIWA,HV5,site
NIWA,HV6,site
NIWA,NN1,site
NIWA,NN2,site
NIWA,NN3,site
NIWA,NN4,site
NIWA,NN5,site
NIWA,RO1,site
NIWA,RO2,site
NIWA,RO3,site
NIWA,RO4,site
NIWA,RO5,site
NIWA,RO6,site
NIWA,TK1,site
NIWA,TK2,site
NIWA,TK3,site
NIWA,TK4,site
NIWA,TK5,site
NIWA,TK6,site
NIWA,TU1,site
NIWA,TU2,site
NIWA,WA1,site
NIWA,WA2,site
NIWA,WA3,site
NIWA,WA4,site
NIWA,WA5,site
NIWA,WA6,site
NIWA,WA7,site
NIWA,WA8,site
NIWA,WA9,site
NIWA,WH1,site
NIWA,WH2,site
NIWA,WH3,site
NIWA,WH4,site
NIWA,WN1,site
NIWA,WN2,site
NIWA,WN3,site
NIWA,WN4,site
NIWA,WN5,site
